 ,Area
1,0.670
2,0.670
3,10.254
4,3.452
5,5.153
6,3.710
7,1.031
8,2.422
9,0.928
10,0.824
11,1.546
12,5.153
13,4.174
14,1.546
15,2.989
16,0.155
17,3.143
18,1.855
19,5.823
20,2.525
21,4.071
22,9.069
23,1.958
24,1.649
25,3.040
26,4.225
27,6.183
28,9.636
29,3.916
30,2.061
31,1.288
32,0.670
33,6.287
34,14.428
35,2.937
36,4.122
37,6.183
38,11.388
39,2.473
40,32.206
41,3.246
42,4.019
43,6.544
44,4.638
45,4.844
46,3.813
47,2.370
48,0.567
49,6.493
50,3.504
51,3.143
52,1.958
53,1.546
54,1.700
55,9.481
56,2.473
57,4.328
58,6.544
59,2.628
60,1.546
61,3.813
62,2.834
63,2.834
64,4.328
65,10.770
66,3.607
67,4.122
68,3.401
69,3.452
70,1.237
71,3.504
72,5.823
73,3.762
74,10.254
75,8.451
76,4.586
77,3.916
78,3.452
79,5.204
80,6.750
81,4.380
82,4.483
83,0.824
84,1.391
85,2.267
86,2.010
87,4.174
88,4.638
89,7.008
90,2.267
91,1.082
92,2.628
93,2.628
94,3.607
95,0.361
96,3.452
97,3.452
98,3.246
99,1.958
100,1.958
101,12.418
102,2.680
103,8.605
104,3.504
105,1.958
106,2.061
107,6.802
108,4.689
109,26.125
110,2.937
111,4.741
112,2.216
113,4.947
114,5.256
115,0.103
116,0.773
117,3.710
118,10.873
119,6.750
120,14.325
121,2.216
122,3.607
123,0.361
124,7.214
125,2.834
126,3.710
127,2.216
128,0.515
129,4.019
130,10.563
131,2.834
132,3.607
133,4.019
134,3.246
135,9.584
136,1.546
137,3.401
138,3.092
139,4.071
140,1.494
141,1.031
142,2.422
143,1.340
144,3.607
145,3.349
146,3.298
147,1.185
148,0.464
149,3.452
150,2.628
151,3.452
152,5.926
153,3.246
154,1.804
155,2.422
156,2.473
157,4.638
158,26.537
159,4.638
160,3.349
161,2.164
162,3.504
163,1.237
164,3.195
165,2.886
166,2.267
167,7.523
168,2.525
169,2.937
170,1.031
171,2.937
172,1.752
173,0.928
174,3.659
175,2.886
176,0.309
177,3.710
178,3.762
179,2.422
180,5.101
181,3.813
182,2.731
183,0.979
184,2.422
185,0.773
186,1.958
187,0.515
188,3.246
189,2.525
190,1.597
191,1.288
192,4.638
193,1.237
194,3.762
195,2.576
196,1.340
197,0.567
198,1.494
199,0.103
200,1.855
201,0.567
202,2.216
