 ,X,Y
1,174.370,13.935
2,50.340,37.036
3,242.132,43.707
4,321.489,58.674
5,213.874,61.147
6,306.384,65.417
7,308.192,70.254
8,67.151,86.428
9,288.296,91.962
10,177.799,93.521
11,284.317,93.654
12,211.523,95.301
13,220.455,101.828
14,29.876,108.456
15,145.878,109.504
16,55.605,109.300
17,158.308,125.063
18,349.874,124.741
19,36.360,129.637
20,270.970,150.735
21,241.019,153.731
22,414.354,157.648
23,416.573,160.962
24,80.570,188.669
25,77.681,192.515
26,407.981,192.235
27,195.185,196.671
28,74.915,197.156
29,78.852,197.631
30,74.089,199.433
31,79.061,200.381
32,344.200,199.586
33,138.838,209.256
34,131.683,214.336
35,349.443,215.501
36,109.223,223.085
37,392.846,230.251
38,283.285,243.578
39,151.454,247.812
40,372.593,252.641
41,138.055,264.256
42,29.008,278.123
43,81.062,292.241
44,49.017,296.772
45,310.452,301.673
46,110.406,302.453
47,248.121,326.509
48,418.264,331.047
