 ,X,Y
1,400.734,0.437
2,115.698,7.981
3,19.530,11.593
4,247.132,22.585
5,244.302,23.684
6,233.050,25.804
7,51.214,36.055
8,113.701,57.652
9,292.005,58.616
10,324.054,60.648
11,305.800,66.308
12,242.814,81.799
13,156.079,80.722
14,264.753,81.826
15,118.197,81.994
16,122.926,82.272
17,67.719,87.784
18,349.696,90.516
19,205.404,97.724
20,111.874,107.247
21,361.101,107.667
22,50.424,112.729
23,120.255,126.484
24,422.890,129.925
25,383.513,129.842
26,62.041,134.201
27,370.165,139.108
28,380.068,142.713
29,181.652,143.698
30,313.672,146.682
31,287.579,149.444
32,176.198,158.579
33,371.910,163.981
34,37.761,163.641
35,55.497,164.094
36,257.746,169.792
37,125.191,177.276
38,295.107,178.118
39,244.659,182.994
40,95.694,192.420
41,365.998,192.267
42,80.359,194.341
43,73.548,195.674
44,344.940,199.762
45,280.445,211.265
46,131.127,213.907
47,370.821,235.583
48,363.258,237.790
49,437.102,237.948
50,133.543,238.570
51,27.949,238.307
52,145.492,248.835
53,290.353,249.416
54,243.418,252.259
55,68.075,252.994
56,322.518,258.113
57,124.596,261.709
58,314.765,261.999
59,202.025,273.764
60,3.333,278.265
61,30.078,281.433
62,415.274,288.113
63,332.328,290.787
64,28.822,293.152
65,251.821,303.012
66,145.911,302.604
67,414.428,317.187
68,158.456,319.727
69,155.209,321.073
70,248.399,326.220
71,295.065,330.179
72,184.881,331.058
