 ,Area
1,4.998
2,1.494
3,4.071
4,2.576
5,1.494
6,2.576
7,1.958
8,1.958
9,6.390
10,4.535
11,1.288
12,1.700
13,2.525
14,6.183
15,1.958
16,3.349
17,3.246
18,3.607
19,1.031
20,2.576
21,1.700
22,2.525
23,2.473
24,2.010
25,2.370
26,2.525
27,9.018
28,2.525
29,10.821
30,0.361
31,2.216
32,5.462
33,2.319
34,2.937
35,2.525
36,2.525
37,1.443
38,10.563
39,2.525
40,2.370
41,3.092
42,2.164
43,2.216
44,1.958
45,1.700
46,1.907
47,1.855
48,2.422
49,4.071
50,6.183
51,4.431
52,2.783
53,5.771
54,1.546
55,6.493
56,2.267
57,1.546
58,3.607
59,1.494
60,2.164
61,6.029
62,2.061
63,1.700
64,7.884
65,1.700
66,2.319
67,2.319
68,3.040
69,3.865
70,2.989
71,2.731
72,2.216
73,2.113
74,6.596
75,2.164
76,2.628
77,4.328
78,11.491
79,0.773
80,2.834
81,2.216
82,1.907
83,1.391
84,2.422
85,2.164
86,1.597
87,2.061
88,2.422
89,1.443
90,3.349
91,1.907
92,1.649
93,2.216
94,1.340
95,3.040
96,2.989
97,3.659
98,2.319
99,5.256
100,1.597
101,1.237
102,2.113
103,2.886
104,1.237
105,1.237
106,2.422
107,3.710
108,0.773
109,2.010
110,2.010
111,2.010
112,1.855
113,1.907
114,2.473
115,1.546
116,2.525
117,22.982
118,1.031
119,2.164
120,2.937
121,3.710
122,2.422
123,2.370
124,0.928
125,2.061
126,1.804
127,0.567
128,1.546
129,1.804
130,2.061
131,0.361
132,2.370
133,2.473
134,2.010
135,1.752
136,2.422
137,1.031
138,2.576
139,1.443
140,2.680
141,3.452
142,1.340
143,3.298
144,1.700
145,2.576
146,1.494
147,1.804
148,2.834
149,0.721
150,1.288
151,1.237
152,2.370
153,1.082
154,0.876
155,0.824
156,0.773
157,1.855
158,1.082
159,2.370
160,0.155
161,3.556
162,1.494
163,2.010
164,1.546
165,0.928
166,1.288
167,2.783
168,2.370
169,1.855
170,2.113
171,1.649
172,2.783
173,5.204
174,2.061
175,1.907
176,1.391
177,1.288
178,2.010
179,0.464
180,1.340
181,1.237
182,1.082
183,2.164
184,2.422
185,4.225
186,2.525
187,0.773
188,3.246
189,4.638
190,0.928
191,1.031
192,0.258
193,1.546
194,6.699
195,2.216
196,2.525
197,24.270
198,3.298
199,3.092
200,1.185
201,0.258
202,1.546
203,1.134
204,1.804
205,2.267
206,1.340
207,0.464
208,1.958
209,1.752
210,8.811
211,1.907
212,2.937
213,1.288
214,1.443
215,1.752
216,0.412
217,0.103
218,2.576
219,1.958
220,4.741
221,0.309
222,1.649
223,1.391
224,1.031
225,1.340
226,0.773
227,1.597
228,1.082
229,0.773
230,1.340
231,1.700
232,0.361
233,0.155
