 ,Area
1,2.216
2,1.494
3,6.287
4,19.736
5,0.515
6,10.512
7,0.464
8,13.913
9,1.237
10,0.309
11,0.876
12,6.544
13,1.340
14,6.493
15,3.504
16,0.876
17,6.647
18,1.752
19,6.338
20,1.546
21,0.103
22,3.762
23,9.997
24,7.059
25,1.237
26,1.237
27,4.947
28,0.155
29,3.092
30,6.544
31,0.567
32,0.361
33,3.452
34,1.958
35,0.412
36,2.113
37,1.752
38,3.452
39,1.597
40,0.464
41,4.998
42,0.412
43,0.464
44,2.525
45,1.649
46,0.721
47,1.134
48,12.573
49,5.256
50,2.164
51,1.804
52,66.266
53,1.443
54,1.134
55,1.700
56,57.919
57,2.267
58,1.288
59,2.164
60,7.266
61,2.525
62,2.886
63,0.979
64,1.597
65,0.721
66,2.370
67,545.641
68,9.636
69,17.314
70,1.082
71,2.113
72,2.113
73,1.649
74,2.216
75,1.134
76,0.824
77,10.873
78,3.556
79,1.649
80,1.700
81,1.649
82,0.103
83,1.391
84,2.370
85,0.876
86,1.546
87,1.185
88,0.773
89,1.134
90,10.976
91,5.050
92,0.721
93,1.340
94,0.103
95,0.721
96,7.575
97,7.317
98,7.163
99,3.607
100,6.080
101,4.741
102,2.422
103,2.061
104,7.935
105,0.155
106,0.412
107,2.680
108,1.391
109,1.288
110,0.309
111,28.135
112,7.472
113,1.031
114,3.040
115,0.155
116,1.082
117,1.700
118,1.340
119,6.905
120,4.638
121,14.016
122,0.721
123,2.113
124,1.237
125,0.412
126,24.425
127,1.237
128,0.103
129,0.258
130,2.422
131,1.134
132,1.804
133,1.855
134,4.380
135,1.288
136,0.618
137,1.340
138,1.391
139,2.010
140,0.979
141,0.824
142,4.328
143,1.907
144,4.380
145,2.525
146,0.155
147,2.834
148,2.473
149,1.546
150,1.443
151,254.656
152,3.401
153,0.155
154,1.134
155,1.804
156,2.886
157,1.907
158,4.277
159,3.968
160,0.567
161,0.103
162,4.792
163,3.246
164,3.143
165,1.134
166,271.661
167,0.361
168,0.928
169,0.876
170,3.195
171,2.010
172,1.237
173,0.464
174,0.773
175,1.391
176,0.721
177,6.183
178,2.164
179,2.422
180,12.315
181,0.412
182,0.412
183,6.853
184,1.134
185,0.515
186,0.412
187,0.464
188,2.319
189,1.288
190,2.525
191,0.412
192,6.441
193,0.309
194,2.731
195,2.422
196,1.855
197,0.928
198,1.958
199,23.858
200,1.082
201,1.597
202,0.464
203,4.019
204,8.657
205,2633.750
206,2.576
207,0.206
208,0.103
209,2.370
210,0.258
211,1.649
212,0.103
213,0.258
214,2.576
215,3.401
216,1.649
217,3.710
218,0.206
219,6.235
220,2.680
221,0.361
222,2.113
223,0.670
224,1.288
225,0.773
226,2.370
227,0.309
228,1.134
229,1.443
230,2.473
231,1.700
232,2.010
233,3.762
234,5.050
235,0.258
236,35.091
237,0.515
238,0.258
239,12.212
240,3.504
241,2.680
242,4.019
243,12.418
244,1.752
245,4.071
246,0.155
247,0.464
248,0.876
249,0.876
250,13.191
251,1.494
252,1.494
253,2.576
254,3.092
255,0.464
256,3.349
257,1.804
258,1.804
259,0.309
260,3.813
261,1.907
262,0.567
263,1.597
264,0.618
265,0.155
266,0.361
267,2.576
268,1.804
269,0.206
270,3.092
271,1.134
272,0.928
273,10.924
274,1.907
275,11.800
276,1.907
277,1.546
278,0.464
279,0.464
280,2.061
281,1.031
282,0.309
283,0.824
284,0.206
285,1.855
286,0.876
287,0.618
288,1.288
289,2.576
290,1.134
291,4.122
292,0.876
293,6.183
294,3.659
295,1.082
296,3.349
297,0.876
298,1.649
299,1.237
300,3.401
301,0.567
302,1.855
303,1.185
304,0.464
305,2.061
306,7.832
307,1.237
308,0.618
309,2.886
310,1.804
311,0.206
312,1.958
313,0.670
314,0.567
315,0.876
316,3.298
317,0.567
318,1.700
319,2.525
320,38.183
321,5.101
322,0.928
323,1.031
324,1.288
325,1.288
326,3.143
327,6.596
328,5.771
329,4.277
330,1.391
331,1.546
332,2.680
333,0.309
334,2.783
335,0.155
336,0.670
337,2.319
338,1.134
339,0.618
340,1.185
341,0.670
342,1.907
343,4.277
344,6.596
345,858.988
346,0.103
347,85.796
348,0.876
349,0.721
350,5.307
351,1.288
352,0.721
353,0.928
354,3.246
355,4.689
356,0.361
357,0.361
358,10.718
359,0.515
360,2.680
361,2.267
362,2.525
363,0.567
364,1.597
365,0.258
366,5.617
367,2.370
368,1.700
369,2.680
370,0.567
371,1.340
372,27.929
373,1.134
374,2.267
375,0.309
376,0.309
377,34.679
378,1.340
379,0.412
380,0.206
381,6.287
382,1.082
383,0.773
384,0.670
385,11.182
386,2.010
387,1.700
388,30.917
389,6.493
390,1.340
391,1.855
392,0.721
393,1.031
394,4.380
395,0.206
396,4.638
397,0.567
398,1.700
399,3.349
400,1.134
401,0.515
402,0.824
403,0.824
404,0.824
405,0.258
406,0.979
407,4.071
408,5.720
409,87.599
410,10.151
411,20.921
412,4.689
413,1.031
414,0.515
415,0.979
416,0.103
417,0.824
418,2.319
419,3.040
420,0.155
421,1.546
422,1.494
423,0.567
424,3.916
425,0.721
426,4.431
427,5.050
428,1.031
429,0.361
430,1.752
431,2.164
432,2.680
433,3.659
434,1.185
435,2.473
436,0.309
437,0.258
438,1.494
439,1.494
440,2.989
441,0.412
442,5.462
443,5.617
444,1.700
445,0.515
446,3.607
447,5.101
448,0.309
449,4.071
450,1.237
451,1.958
452,0.103
