 ,Area
1,3.452
2,10.409
3,9.894
4,17.881
5,4.586
6,5.050
7,1.700
8,6.544
9,4.844
10,3.916
11,4.844
12,8.296
13,3.968
14,6.750
15,5.153
16,6.441
17,5.359
18,3.349
19,4.689
20,4.071
21,13.398
22,3.916
23,4.535
24,3.401
25,5.153
26,4.535
27,3.246
28,2.628
29,0.361
30,4.019
31,4.741
32,2.937
33,3.195
34,9.018
35,5.462
36,5.771
37,5.101
38,5.256
39,2.937
40,6.183
41,8.348
42,2.164
43,4.431
44,3.298
45,2.576
46,2.216
47,5.977
48,2.267
49,4.638
50,0.052
51,0.361
52,1.958
53,2.628
54,3.298
55,2.216
56,4.535
57,2.010
58,1.288
59,0.361
60,2.576
61,0.206
62,1.288
63,1.752
64,1.391
65,1.237
66,8.039
