 ,Area
1,2.628
2,0.721
3,3.349
4,0.515
5,0.361
6,0.052
7,4.741
8,1.237
9,2.267
10,0.103
11,10.667
12,1.804
13,0.464
14,0.361
15,2.473
16,0.412
17,2.164
18,0.258
19,3.813
20,0.412
21,0.258
22,0.309
23,0.258
24,0.618
25,8.193
26,0.361
27,0.206
28,1.907
29,0.052
30,4.844
31,1.237
32,0.309
33,0.206
34,1.185
35,0.721
36,0.103
37,0.309
38,0.361
39,0.618
40,1.597
41,0.103
42,0.258
43,0.515
44,0.052
45,0.052
46,6.750
47,0.206
48,0.824
49,0.464
50,0.824
51,0.567
52,0.206
53,0.206
54,1.752
55,0.155
56,0.773
57,1.443
58,0.258
59,0.206
60,1.752
61,0.206
62,1.597
63,0.773
64,76.057
65,1.340
66,0.361
67,0.361
68,260.737
69,1.082
70,1.597
71,2.113
72,53.848
73,1.752
74,0.052
75,12.676
76,0.928
77,4.689
78,0.721
79,0.721
80,0.155
81,0.052
82,31.278
83,9.378
84,1.391
85,12.212
86,21.951
87,0.103
88,1.340
89,0.361
90,0.618
91,0.670
92,0.876
93,1.752
94,0.309
95,2.319
96,7.832
97,9.636
98,0.206
99,5.050
100,5.565
101,1.082
102,0.155
103,0.567
104,0.309
105,4.122
106,1.082
107,1.237
108,0.206
109,0.206
110,0.155
111,2.989
112,0.773
113,5.462
114,1.082
115,0.515
116,0.258
117,1.391
118,1.031
119,2.473
120,18.190
121,0.155
122,0.721
123,0.515
124,0.361
125,0.052
126,1.546
127,0.824
128,3.452
129,18.808
130,0.103
131,0.670
132,3.659
133,0.206
134,2.886
135,0.928
136,0.618
137,1.907
138,0.464
139,1.082
140,3.968
141,1.494
142,1.443
143,0.515
144,1.700
145,0.361
146,0.052
147,0.928
148,0.412
149,43.387
150,4.792
151,1.237
152,0.618
153,1.237
154,0.876
155,3.865
156,0.515
157,0.309
158,0.361
159,1.391
160,0.052
161,5.359
162,0.052
163,9.172
164,0.052
165,0.515
