 ,Area
1,0.155
2,0.515
3,6.338
4,0.618
5,2.267
6,6.029
7,15.098
8,2.473
9,4.019
10,4.431
11,5.462
12,9.430
13,6.441
14,13.913
15,1.391
16,10.512
17,4.071
18,3.504
19,13.913
20,8.811
21,2.113
22,6.750
23,8.090
24,1.752
25,6.544
26,4.431
27,3.710
28,14.067
29,2.731
30,3.762
31,3.504
32,9.945
33,5.359
34,1.804
35,3.968
36,1.804
37,13.913
38,1.958
39,3.556
40,14.480
41,2.164
42,9.945
43,10.151
44,5.307
45,4.535
46,3.298
47,1.288
48,7.059
49,5.359
50,2.010
51,2.680
52,5.153
53,4.586
54,2.267
55,3.504
56,1.855
57,3.092
58,5.359
59,2.370
60,0.618
61,2.473
62,2.473
63,4.019
64,2.731
65,1.546
66,0.206
