 ,Area
1,0.103
2,2.731
3,0.773
4,33.133
5,1.855
6,0.876
7,1.185
8,1.855
9,3.195
10,2.525
11,0.361
12,1.443
13,3.556
14,3.865
15,12.934
16,2.886
17,8.348
18,7.266
19,169.891
20,2.113
21,2.834
22,3.298
23,2.525
24,0.773
25,2.473
26,1.700
27,36.122
28,3.813
29,3.195
30,3.246
31,0.412
32,3.349
33,36.431
34,2.216
35,1.958
36,1.082
37,0.258
38,2.113
39,2.937
40,3.968
41,2.319
42,1.700
43,2.473
44,2.834
45,0.928
46,2.113
47,3.556
48,0.258
49,2.370
50,37.101
51,1.804
52,3.556
53,0.155
54,3.607
55,10.512
56,1.855
57,0.103
58,9.584
59,21.024
60,4.071
61,5.359
62,2.628
63,4.792
64,2.422
65,4.277
66,9.327
67,2.525
68,3.452
69,3.762
70,2.989
71,2.731
72,2.319
73,2.370
74,0.103
75,18.911
76,1.031
77,1.288
78,3.298
79,4.638
80,3.865
81,7.472
82,7.781
83,11.646
84,1.288
85,137.376
86,3.246
87,12.470
88,0.824
89,2.113
90,10.460
91,0.155
92,1.546
93,0.258
94,4.174
95,0.309
96,2.576
97,11.491
98,0.412
99,1.031
100,0.155
101,12.367
102,2.061
103,2.628
104,2.680
105,5.823
106,6.853
107,189.627
108,12.367
109,4.535
110,0.103
111,0.155
112,14.583
113,1.391
114,4.638
115,4.689
116,69.100
117,0.876
118,4.122
119,3.092
120,14.119
121,1.391
122,2.164
123,0.309
124,4.071
125,3.298
126,0.258
127,2.834
128,2.216
129,4.431
130,3.968
131,5.307
132,4.947
133,3.659
134,4.071
135,3.607
136,1.082
137,4.019
138,24.940
139,34.318
140,14.480
141,14.737
142,3.401
143,2.989
144,3.762
145,11.027
146,4.792
147,0.103
148,3.452
149,1.134
150,0.773
151,6.493
152,17.417
153,2.937
154,3.504
155,3.968
156,7.935
157,3.246
158,3.349
159,2.834
160,1.340
161,2.680
162,3.195
163,2.216
164,10.151
165,2.525
166,2.783
167,1.804
168,3.040
169,64.154
170,3.195
171,2.937
172,29.372
173,2.010
174,0.515
175,1.494
176,3.092
177,0.618
178,46.428
179,10.460
180,4.535
181,1.597
182,0.361
183,24.425
184,6.287
185,3.246
186,2.473
187,9.018
188,2.937
189,3.556
190,2.886
191,3.298
192,3.092
193,0.103
194,3.607
195,0.155
196,14.222
197,31.020
198,1.700
199,4.019
200,15.407
201,3.762
202,7.008
203,0.876
204,2.680
205,5.153
206,3.968
207,2.061
208,1.649
209,9.430
210,0.721
211,1.752
212,2.628
213,2.010
214,1.597
215,3.349
216,3.298
217,3.968
218,4.019
219,1.340
220,5.462
221,4.328
222,16.335
223,216.834
224,2.319
225,0.928
226,2.010
227,3.968
228,2.319
229,2.783
230,1.958
231,0.670
232,2.937
233,3.504
234,1.700
235,2.319
236,1.134
237,6.544
238,5.977
239,0.515
240,9.172
241,2.216
242,3.865
243,1.237
244,0.618
245,1.185
246,0.412
247,2.010
248,7.369
249,2.061
250,11.439
251,4.071
252,14.531
253,0.928
254,2.010
255,13.964
256,0.103
257,2.319
258,1.443
259,4.844
260,3.813
261,3.143
262,21.178
263,3.349
264,65.493
265,2.628
266,20.972
267,47.201
268,0.258
269,0.515
270,1.443
271,19.890
272,3.143
273,9.842
274,0.309
275,0.309
276,0.618
277,2.422
278,6.132
279,1.804
280,3.504
281,1.031
282,0.361
283,2.010
284,2.267
285,6.132
286,1.082
287,2.937
288,2.370
289,2.164
290,0.670
291,16.592
292,565.891
293,4.792
294,114.600
295,3.401
296,0.979
297,1.391
298,1.134
299,3.865
300,2.628
301,3.916
302,0.876
303,2.834
304,3.246
305,1.855
306,37.101
307,3.092
308,4.328
309,0.309
310,2.525
311,0.618
312,15.716
313,1.391
314,1.958
315,1.597
316,0.928
317,8.090
318,6.956
319,2.113
320,2.628
321,2.216
322,1.494
323,10.357
324,0.103
