 ,Area
1,1.855
2,1.752
3,2.731
4,1.288
5,2.010
6,9.275
7,21.488
8,0.618
9,5.977
10,0.979
11,2.061
12,1.031
13,2.628
14,1.546
15,16.077
16,1.082
17,3.092
18,6.750
19,3.246
20,0.824
21,7.369
22,1.134
23,2.989
24,2.267
25,12.985
26,2.164
27,4.586
28,8.966
29,5.359
30,2.267
31,2.164
32,11.182
33,0.464
34,2.731
35,2.113
36,2.216
37,4.019
38,3.556
39,4.947
40,2.422
41,2.989
42,9.687
43,7.832
44,2.319
45,3.349
46,3.401
47,4.071
48,1.391
49,3.504
50,1.958
51,4.174
52,9.069
53,3.143
54,2.937
55,0.670
56,2.267
57,2.216
58,4.586
59,2.216
60,15.510
61,2.267
62,5.874
63,24.167
64,22.467
65,2.937
66,9.687
67,3.143
68,2.834
69,3.195
70,1.907
71,2.319
72,5.153
73,9.121
74,2.473
75,6.647
76,8.193
77,5.823
78,2.010
79,4.689
80,0.721
81,8.193
82,6.544
83,5.050
84,4.431
85,1.752
86,11.079
87,2.834
88,1.546
89,2.628
90,2.576
91,3.040
92,0.721
93,2.164
94,3.143
95,5.720
96,2.267
97,2.010
98,4.174
99,19.684
100,3.246
101,3.813
102,2.319
103,0.773
104,1.804
105,0.361
106,3.556
107,2.937
108,2.731
109,1.649
110,3.762
111,2.010
112,2.267
113,1.649
114,2.473
115,4.638
116,4.174
117,2.061
118,7.317
119,3.916
120,3.504
121,3.968
122,3.710
123,6.802
124,1.804
125,3.813
126,5.153
127,3.556
128,3.968
129,2.267
130,11.233
131,4.019
132,2.113
133,6.287
134,3.195
135,4.071
136,2.113
137,2.937
138,14.377
139,43.697
140,16.077
141,7.832
142,2.113
143,6.132
144,1.958
145,3.813
146,1.752
147,3.813
148,0.567
149,3.401
150,4.792
151,1.237
152,1.752
153,4.895
154,1.185
155,1.134
156,3.865
157,14.377
158,10.924
159,10.048
160,3.040
161,0.206
162,6.493
163,9.430
164,3.659
165,10.770
166,3.659
167,2.628
168,3.401
169,2.061
170,2.422
171,2.422
172,1.443
173,0.721
174,3.040
175,8.245
176,1.649
177,2.886
178,5.617
179,13.655
180,2.319
181,1.958
182,3.607
183,2.164
184,8.502
185,2.473
186,3.401
187,2.319
188,3.040
189,3.504
190,1.288
191,2.113
192,1.185
193,3.710
194,2.473
195,7.935
196,2.319
197,1.494
198,1.958
199,23.240
200,1.494
201,6.029
202,17.365
203,3.246
204,0.670
205,1.340
206,0.258
207,1.443
208,2.731
209,3.659
210,2.680
211,4.483
212,4.019
213,2.061
214,2.834
215,0.155
216,1.700
217,2.834
218,6.183
219,0.876
220,4.328
221,2.834
222,6.596
223,5.874
224,10.667
225,2.370
226,1.134
227,7.214
228,7.678
229,3.092
230,2.628
231,10.100
232,13.449
233,2.834
234,1.649
235,1.082
236,6.699
237,2.576
238,3.195
239,3.504
240,1.700
241,2.937
242,2.783
243,4.122
244,9.430
245,3.092
246,4.174
247,1.855
248,2.216
249,4.792
250,8.966
251,7.163
252,5.050
253,2.370
254,2.731
255,2.473
256,4.122
257,2.731
258,3.865
259,0.412
260,2.886
261,4.277
262,2.422
263,2.113
264,7.369
265,2.680
266,2.422
267,1.031
268,3.143
269,1.752
270,8.193
271,2.267
272,2.731
273,4.586
274,0.773
275,0.258
276,2.061
277,3.349
278,1.288
279,7.884
280,2.628
281,1.855
282,1.855
283,6.802
284,1.597
285,3.607
286,2.628
287,4.947
288,1.134
289,5.977
290,0.876
291,1.494
292,1.391
293,7.008
294,2.783
295,1.134
296,1.288
297,1.391
298,2.061
299,2.783
300,2.164
301,3.401
302,4.174
303,1.752
304,2.010
305,2.989
306,0.515
307,2.164
308,3.556
309,0.876
310,1.082
311,4.328
312,1.134
313,12.315
314,9.172
315,1.649
316,8.554
317,3.762
318,0.773
319,3.143
320,0.567
321,2.113
322,2.680
323,0.155
324,0.206
325,3.298
326,0.206
327,3.504
328,0.979
329,2.010
330,2.886
331,4.328
332,4.483
333,3.762
334,3.607
335,1.958
336,1.134
337,0.515
338,2.731
339,2.370
340,1.031
341,1.031
342,1.082
